fecha,pm25,Generated
2017-02-28 12:00:00,42,18.217714
2017-02-28 12:00:00,38,19.947704
2017-02-28 13:00:00,49,22.748569
2017-02-28 13:00:00,33,25.670521
2017-02-28 14:00:00,48,27.418135
2017-02-28 14:00:00,46,27.649055
2017-02-28 15:00:00,40,26.369421
2017-02-28 15:00:00,34,23.581898
2017-02-28 16:00:00,27,20.530787
2017-02-28 16:00:00,24,18.278879
2017-02-28 17:00:00,19,18.553646
2017-02-28 17:00:00,17,20.259203
2017-02-28 18:00:00,37,22.920097
2017-02-28 18:00:00,15,25.590158
2017-02-28 19:00:00,37,27.051334
2017-02-28 19:00:00,26,27.140127
2017-02-28 20:00:00,33,25.757492
2017-02-28 20:00:00,12,22.998667
2017-02-28 21:00:00,14,20.110352
2017-02-28 21:00:00,13,18.003870
2017-02-28 22:00:00,14,18.599081
2017-02-28 22:00:00,17,20.503504
2017-02-28 23:00:00,29,23.258783
2017-02-28 23:00:00,18,25.901819
