fecha,pm25,Generated
2017-02-28 12:00:00,42,17.701124
2017-02-28 12:00:00,38,19.196114
2017-02-28 13:00:00,49,21.187609
2017-02-28 13:00:00,33,23.964006
2017-02-28 14:00:00,48,27.265034
2017-02-28 14:00:00,46,30.500774
2017-02-28 15:00:00,40,33.606804
2017-02-28 15:00:00,34,37.326328
2017-02-28 16:00:00,27,36.505398
2017-02-28 16:00:00,24,26.631645
2017-02-28 17:00:00,19,15.944367
2017-02-28 17:00:00,17,16.195913
2017-02-28 18:00:00,37,17.432283
2017-02-28 18:00:00,15,18.588095
2017-02-28 19:00:00,37,20.557566
2017-02-28 19:00:00,26,23.121916
2017-02-28 20:00:00,33,26.426897
2017-02-28 20:00:00,12,30.060425
2017-02-28 21:00:00,14,33.965458
2017-02-28 21:00:00,13,38.533344
2017-02-28 22:00:00,14,39.509975
2017-02-28 22:00:00,17,30.457514
2017-02-28 23:00:00,29,18.911720
2017-02-28 23:00:00,18,15.698129
